API,Unnamed: 1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,        Refined petroleum products (Mb/d),,896,742,675,677.4,715.6,1790.2,1765.8,2520.3,2626.4,2673.8,2945.5,2806.3,2956.6,3011.8,3137.1,3215.2,3512.4,3649.5,3636.8,3348.8975136612,3342.7761369863,3586.19167123288,4045.89419178082,4512.48016666667,4440.22312328767,4569.50630539726,4918.6538630137,4976.010634555,4930.53574164384,5366.06933865623,5406.35139436399,5444.94455381783,5643.16379254221,5673.06492909451,1184.86835616438
World,            Distillate fuel oil (Mb/d),,,,,170,186,600.3,585.6,949.9,986.6,896.6,1002.1,804.8,986.1,1038.1,1138,1210.7,1290.3,1381.5,1369.5,1062.3,952.6,1148.6,1503.8,1746.6,1511.5,1818.6,897.4,818.7,37.1,,,,,,
World,            Residual fuel oil (Mb/d),,602,564,514,505.7,529.4,1194.6,1177.7,1568.1,1643,1737.8,1855.8,1922,1903.4,1915,1946.5,1957.8,2175.9,2224.4,2230.1,2193.96704918033,2298.70295890411,2362.15747945205,2438.25035616438,2696.66469466277,2855.75331506849,2718.64810958904,2837.24739710956,2927.84438336355,2915.23777632877,3072.84979319243,3140.3602722531,3034.28703958598,2956.11198633345,3003.21453864048,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,        Refined petroleum products (Mb/d),,,,,,,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.217260273972603,
Afghanistan,            Distillate fuel oil (Mb/d),,,,,,,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0,0,,,,,,,
Afghanistan,            Residual fuel oil (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,        Refined petroleum products (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1.2,0.8,1.8,2.2,2.7,0.4,0.4,0.4,0.4,0.9,0.582575342465753,
Albania,            Distillate fuel oil (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1.2,0.8,1.8,0,0,,,,,,,
Albania,            Residual fuel oil (Mb/d),,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
