API,Unnamed: 1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World,        Refined petroleum products (Mb/d),,,,,,,61094.8,61760.2,62661.7,64070.4,65552.1,65153.1,65841.7,66393.7,67183.7506849315,68300.7,69661.8606557377,72056.195890411,72388.0681594521,72609.4188493151,74359.0428262163,75386.1045179715,75818.5169185011,77763.1362441175,80468.6599371866,81681.3235331956,82606.0039737732,82625.619635772,83460.6687827958,82670.0024234794,84630.5340470031,84842.8644952754,85340.6840267834,86210.8392745226,87752.1174077486,,,
World,            Motor gasoline (Mb/d),,,,,,,15617.2,16422.7,16884.3,16762.9,17258.6,17276.9,17388.4,17997.3,17935.6506849315,18384.8931506849,18821.1114754098,19258.1178082192,19568.4,19529.2273972603,19403.5316336483,19762.7811543195,20156.2885391259,20475.0708775873,21011.6980060394,21206.1432516774,21202.0674485896,21298.4888508155,21487.2091270793,22145.5157683538,22229.9521211202,22309.1954542326,22416.2734388419,22956.260771528,23799.5776425423,,,
World,            Jet fuel (Mb/d),,,,,,,2878.6,3414.9,3736,3913,4060.9,3863.2,3772.2,3740.1,3970.45576876712,4146.43954356164,4366.22126415301,4375.93612589041,4435.68913246576,4492.66090410959,4699.61603761033,4583.1272074601,4574.47366304854,4563.69850881365,4867.40304313697,5017.81140377634,5091.70537667683,5201.68931156699,5299.77869690552,5104.57482985164,5241.46478000638,5393.88926559559,5448.05165138483,5584.40442333299,5924.17113786818,,,
World,            Kerosene (Mb/d),,,,,,,2306.1,1850,1732.4,1653.9,1734,1667.3,1802.7,1872.6,1812.41165424657,1857.1474879452,1911.25068765027,2019.37760534247,1834.45856767123,1879.3822739726,2019.46053338832,1970.33310233791,1888.87868455158,1998.63355914393,1919.932205382,1935.54384139028,1822.00876797764,1664.63581027914,1586.69756828866,1549.09333402654,1556.17012422194,1518.38661622538,1490.45954941575,1515.46335225088,1286.33912340036,,,
World,            Distillate fuel oil (Mb/d),,,,,,,15364.9,15381.5,16020.6,16514.7,16699,16976.2,17202,17985.5,18106.1917808219,18550.5616438356,18959.4663387978,19521.1060294521,19705.4527247945,20064.3192441863,20713.288675293,21223.0187722403,21239.5166633232,22037.0633596096,22943.0932005952,23699.6624145616,23951.4354865726,24433.055232135,25339.0977715002,24910.5432177625,25340.9975899056,25998.8482814811,26539.1731215465,26801.4033625638,27253.6980825649,,,
World,            Residual fuel oil (Mb/d),,,,,,,13293.3,13069.3,13194.5,13660.3,13765.9,13405,13002.5,12427.8,12221.7726027397,11908.4069706849,11820.6618774317,11992.6360815068,11850.9251332877,11402.9313171945,11309.2136620909,11283.8848208265,11016.2437115393,11105.4356772462,11264.2830188993,11216.605802975,11183.835319272,10806.4174785232,10694.7397218812,9952.64750468866,9922.613886469,9554.74658854265,9373.63707850828,8992.80297995889,8785.53939752784,,,
World,            Liquefied Petroleum Gases (Mb/d),,,,,,,2171.6,2009.9,2110.4,2167.5,2170,2358.6,2633.7,2575.5,2764.46267753425,2991.20652,2997.95361530055,2982.6322679452,3077.80383794521,3181.80025565479,3087.5896357725,3249.12508808188,3240.5989875203,3339.05589318039,3429.6929725211,3437.5645569753,3618.35023302226,3591.01355492176,3596.62105687817,3552.94525484536,3670.70934369862,3697.53659903335,3724.47507791915,3898.51124882541,3967.99284904128,,,
World,            Other petroleum liquids (Mb/d),,,,,,,9457.6,9610.9,8990.8,9405.4,9879.3,9608.1,10043.8,9812.3,10379.1761358904,10455.4998332877,10786.3101969945,11907.2777820548,11919.9157232877,12060.1824845151,13126.3426484129,13313.8343727052,13702.5166693923,14244.1783685363,15032.5574906127,15167.9922618397,15736.6013416623,15630.3193975303,15456.5248402628,15454.682513951,16663.6138728143,16370.2616901646,16348.614109167,16461.9931360626,16734.7991748038,,,
