,region,ISO_3_codes,year,value
0,Aruba,ABW,1960,54208
1,Africa Eastern and Southern,AFE,1960,130836765
2,Afghanistan,AFG,1960,8996967
3,Africa Western and Central,AFW,1960,96396419
4,Angola,AGO,1960,5454938
5,Albania,ALB,1960,1608800
6,Andorra,AND,1960,13410
7,Arab World,ARB,1960,92197715
8,United Arab Emirates,ARE,1960,92417
9,Argentina,ARG,1960,20481781
10,Armenia,ARM,1960,1874119
11,American Samoa,ASM,1960,20127
12,Antigua and Barbuda,ATG,1960,54132
13,Australia,AUS,1960,10276477
14,Austria,AUT,1960,7047539
15,Azerbaijan,AZE,1960,3895398
16,Burundi,BDI,1960,2797925
17,Belgium,BEL,1960,9153489
18,Benin,BEN,1960,2431617
19,Burkina Faso,BFA,1960,4829289
20,Bangladesh,BGD,1960,48013505
21,Bulgaria,BGR,1960,7867374
22,Bahrain,BHR,1960,162429
23,"Bahamas, The",BHS,1960,109532
24,Bosnia and Herzegovina,BIH,1960,3225664
25,Belarus,BLR,1960,8198000
26,Belize,BLZ,1960,92068
27,Bermuda,BMU,1960,44400
28,Bolivia,BOL,1960,3656961
29,Brazil,BRA,1960,72179235
30,Barbados,BRB,1960,230985
31,Brunei Darussalam,BRN,1960,81707
32,Bhutan,BTN,1960,223284
33,Botswana,BWA,1960,502733
34,Central African Republic,CAF,1960,1501668
35,Canada,CAN,1960,17909009
36,Central Europe and the Baltics,CEB,1960,91401764
37,Switzerland,CHE,1960,5327827
38,Channel Islands,CHI,1960,109419
39,Chile,CHL,1960,8132988
40,China,CHN,1960,667070000
41,Cote d'Ivoire,CIV,1960,3503559
42,Cameroon,CMR,1960,5176920
43,"Congo, Dem. Rep.",COD,1960,15248256
44,"Congo, Rep.",COG,1960,1018254
45,Colombia,COL,1960,16057714
46,Comoros,COM,1960,191122
47,Cabo Verde,CPV,1960,201770
48,Costa Rica,CRI,1960,1330787
49,Caribbean small states,CSS,1960,4194711
50,Cuba,CUB,1960,7141241
51,Curacao,CUW,1960,124826
52,Cayman Islands,CYM,1960,7870
53,Cyprus,CYP,1960,572933
54,Czechia,CZE,1960,9602006
55,Germany,DEU,1960,72814900
56,Djibouti,DJI,1960,83634
57,Dominica,DMA,1960,60020
