,regions,product,year,value
0,Afghanistan,        Refined petroleum products (Mb/d),1980,
1,Afghanistan,            Distillate fuel oil (Mb/d),1980,
2,Afghanistan,            Residual fuel oil (Mb/d),1980,
3,Albania,        Refined petroleum products (Mb/d),1980,
4,Albania,            Distillate fuel oil (Mb/d),1980,
5,Albania,            Residual fuel oil (Mb/d),1980,
6,Algeria,        Refined petroleum products (Mb/d),1980,
7,Algeria,            Distillate fuel oil (Mb/d),1980,
8,Algeria,            Residual fuel oil (Mb/d),1980,
9,American Samoa,        Refined petroleum products (Mb/d),1980,
10,American Samoa,            Distillate fuel oil (Mb/d),1980,
11,American Samoa,            Residual fuel oil (Mb/d),1980,
12,Angola,        Refined petroleum products (Mb/d),1980,
13,Angola,            Distillate fuel oil (Mb/d),1980,
14,Angola,            Residual fuel oil (Mb/d),1980,
15,Antarctica,        Refined petroleum products (Mb/d),1980,
16,Antarctica,            Distillate fuel oil (Mb/d),1980,
17,Antarctica,            Residual fuel oil (Mb/d),1980,
18,Antigua and Barbuda,        Refined petroleum products (Mb/d),1980,
19,Antigua and Barbuda,            Distillate fuel oil (Mb/d),1980,
20,Antigua and Barbuda,            Residual fuel oil (Mb/d),1980,
21,Argentina,        Refined petroleum products (Mb/d),1980,
22,Argentina,            Distillate fuel oil (Mb/d),1980,
23,Argentina,            Residual fuel oil (Mb/d),1980,
24,Armenia,        Refined petroleum products (Mb/d),1980,
25,Armenia,            Distillate fuel oil (Mb/d),1980,
26,Armenia,            Residual fuel oil (Mb/d),1980,
27,Aruba,        Refined petroleum products (Mb/d),1980,
28,Aruba,            Distillate fuel oil (Mb/d),1980,
29,Aruba,            Residual fuel oil (Mb/d),1980,
30,Australia,        Refined petroleum products (Mb/d),1980,41
31,Australia,            Distillate fuel oil (Mb/d),1980,
32,Australia,            Residual fuel oil (Mb/d),1980,30
33,Austria,        Refined petroleum products (Mb/d),1980,0
34,Austria,            Distillate fuel oil (Mb/d),1980,
35,Austria,            Residual fuel oil (Mb/d),1980,0
36,Azerbaijan,        Refined petroleum products (Mb/d),1980,
37,Azerbaijan,            Distillate fuel oil (Mb/d),1980,
38,Azerbaijan,            Residual fuel oil (Mb/d),1980,
39,Bahrain,        Refined petroleum products (Mb/d),1980,
40,Bahrain,            Distillate fuel oil (Mb/d),1980,
41,Bahrain,            Residual fuel oil (Mb/d),1980,
42,Bangladesh,        Refined petroleum products (Mb/d),1980,
43,Bangladesh,            Distillate fuel oil (Mb/d),1980,
44,Bangladesh,            Residual fuel oil (Mb/d),1980,
45,Barbados,        Refined petroleum products (Mb/d),1980,
46,Barbados,            Distillate fuel oil (Mb/d),1980,
47,Barbados,            Residual fuel oil (Mb/d),1980,
48,Belarus,        Refined petroleum products (Mb/d),1980,
49,Belarus,            Distillate fuel oil (Mb/d),1980,
50,Belarus,            Residual fuel oil (Mb/d),1980,
51,Belgium,        Refined petroleum products (Mb/d),1980,49
52,Belgium,            Distillate fuel oil (Mb/d),1980,
53,Belgium,            Residual fuel oil (Mb/d),1980,33
54,Belize,        Refined petroleum products (Mb/d),1980,
55,Belize,            Distillate fuel oil (Mb/d),1980,
56,Belize,            Residual fuel oil (Mb/d),1980,
57,Benin,        Refined petroleum products (Mb/d),1980,
58,Benin,            Distillate fuel oil (Mb/d),1980,
59,Benin,            Residual fuel oil (Mb/d),1980,
60,Bermuda,        Refined petroleum products (Mb/d),1980,
61,Bermuda,            Distillate fuel oil (Mb/d),1980,
62,Bermuda,            Residual fuel oil (Mb/d),1980,
63,Bhutan,        Refined petroleum products (Mb/d),1980,
64,Bhutan,            Distillate fuel oil (Mb/d),1980,
65,Bhutan,            Residual fuel oil (Mb/d),1980,
66,Bolivia,        Refined petroleum products (Mb/d),1980,
67,Bolivia,            Distillate fuel oil (Mb/d),1980,
68,Bolivia,            Residual fuel oil (Mb/d),1980,
69,Bosnia and Herzegovina,        Refined petroleum products (Mb/d),1980,
70,Bosnia and Herzegovina,            Distillate fuel oil (Mb/d),1980,
71,Bosnia and Herzegovina,            Residual fuel oil (Mb/d),1980,
72,Botswana,        Refined petroleum products (Mb/d),1980,
73,Botswana,            Distillate fuel oil (Mb/d),1980,
74,Botswana,            Residual fuel oil (Mb/d),1980,
75,Brazil,        Refined petroleum products (Mb/d),1980,
76,Brazil,            Distillate fuel oil (Mb/d),1980,
77,Brazil,            Residual fuel oil (Mb/d),1980,
78,British Virgin Islands,        Refined petroleum products (Mb/d),1980,
79,British Virgin Islands,            Distillate fuel oil (Mb/d),1980,
80,British Virgin Islands,            Residual fuel oil (Mb/d),1980,
81,Brunei,        Refined petroleum products (Mb/d),1980,
82,Brunei,            Distillate fuel oil (Mb/d),1980,
83,Brunei,            Residual fuel oil (Mb/d),1980,
84,Bulgaria,        Refined petroleum products (Mb/d),1980,
85,Bulgaria,            Distillate fuel oil (Mb/d),1980,
86,Bulgaria,            Residual fuel oil (Mb/d),1980,
87,Burkina Faso,        Refined petroleum products (Mb/d),1980,
88,Burkina Faso,            Distillate fuel oil (Mb/d),1980,
