Report generated on: 09-05-2022 12:09:13
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"","World","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Bunker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.54-13-WORL-TBPD.A","        Refined petroleum products (Mb/d)","","896","742","675","677.4","715.6","1790.2","1765.8","2520.3","2626.4","2673.8","2945.5","2806.3","2956.6","3011.8","3137.1","3215.2","3512.4","3649.5","3636.8","3348.897513661202","3342.7761369863015","3586.1916712328766","4045.894191780822","4512.480166666666","4440.223123287671","4569.50630539726","4918.653863013704","4976.010634555","4930.5357416438355","5366.069338656229","5406.351394363993","5444.944553817829","5643.163792542215","5673.064929094512","1184.868356164384"
"INTL.65-13-WORL-TBPD.A","            Distillate fuel oil (Mb/d)","","","","","170","186","600.3","585.6","949.9","986.6","896.6","1002.1","804.8","986.1","1038.1","1138","1210.7","1290.3","1381.5","1369.5","1062.3","952.6","1148.6","1503.8","1746.6","1511.5","1818.6","897.4","818.7","37.1","NA","NA","NA","NA","NA",""
"INTL.66-13-WORL-TBPD.A","            Residual fuel oil (Mb/d)","","602","564","514","505.7","529.4","1194.6","1177.7","1568.1","1643","1737.8","1855.8","1922","1903.4","1915","1946.5","1957.8","2175.9","2224.4","2230.1","2193.9670491803276","2298.7029589041094","2362.1574794520548","2438.2503561643834","2696.6646946627743","2855.753315068493","2718.6481095890413","2837.2473971095596","2927.8443833635506","2915.2377763287673","3072.8497931924335","3140.360272253099","3034.2870395859827","2956.111986333452","3003.214538640476",""
"","Afghanistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Bunker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.54-13-AFG-TBPD.A","        Refined petroleum products (Mb/d)","","","","","NA","NA","0.3","0.2","0.2","0.2","0.2","0.2","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.217260273972603",""
"INTL.65-13-AFG-TBPD.A","            Distillate fuel oil (Mb/d)","","","","","","","0.3","0.2","0.2","0.2","0.2","0.2","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0","0","NA","NA","NA","NA","NA","NA",""
"INTL.66-13-AFG-TBPD.A","            Residual fuel oil (Mb/d)","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","Albania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Bunker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.54-13-ALB-TBPD.A","        Refined petroleum products (Mb/d)","","","","","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9","1.2","0.8","1.8","2.2","2.7","0.4","0.4","0.4","0.4","0.9","0.582575342465753",""
"INTL.65-13-ALB-TBPD.A","            Distillate fuel oil (Mb/d)","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9","1.2","0.8","1.8","0","0","NA","NA","NA","NA","NA","NA",""
"INTL.66-13-ALB-TBPD.A","            Residual fuel oil (Mb/d)","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"","Algeria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Bunker","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.54-13-DZA-TBPD.A","        Refined petroleum products (Mb/d)","","","","","NA","NA","15","8.9","6.9","6.9","6.8","7.3","3.2","7","8.3","9.4","10","12","10","10","4.6","3.6","4.6","4.1","11","11","14","14","15","15","16","15","16","17","13.97438356164384",""
