Downloaded from wid.world on 23-09-2022 at 04:00:26
Country Code;Country Name;WID Variable code;Percentile group;Unit;Variable name;Intuitive description;Technical description;Methodological Notes;Sources;Extrapolations;Data points
AF;Afghanistan;shweal992j;p99p100;share;Net personal wealth. Share Adults. equal-split adults;Net personal wealth share held by the p99p100 group. Net personal wealth is  the total value of non-financial and financial assets (housing, land, deposits, bonds, equities, etc.) held by households, minus their debts. . The personal or household sector - in the national accounts sense - includes all households and private individuals (including those living in institutions), as well as unincorporated enterprises whose accounts are not separated from those of the households who own them. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;[Net personal wealth]=[Personal non-financial assets]+[Personal financial assets]-[Personal debt];;[URL][URL_LINK]http://wordpress.wid.world/document/global-wealth-inequality-on-wid-world-estimates-and-imputations-world-inequality-lab-technical-note-2021-16/[/URL_LINK][URL_TEXT]Bajard, F., Chancel, L., Moshrif, R., Piketty, T. (2021). “Global Wealth Inequality on WID.world: Estimates and Imputations”[/URL_TEXT][/URL];;
QB;Africa;shweal992j;p99p100;share;Net personal wealth. Share Adults. equal-split adults;Net personal wealth share held by the p99p100 group. Net personal wealth is  the total value of non-financial and financial assets (housing, land, deposits, bonds, equities, etc.) held by households, minus their debts. . The personal or household sector - in the national accounts sense - includes all households and private individuals (including those living in institutions), as well as unincorporated enterprises whose accounts are not separated from those of the households who own them. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;[Net personal wealth]=[Personal non-financial assets]+[Personal financial assets]-[Personal debt];WID.world aggregations of individual country data;[URL][URL_LINK]http://wordpress.wid.world/document/global-wealth-inequality-on-wid-world-estimates-and-imputations-world-inequality-lab-technical-note-2021-16/[/URL_LINK][URL_TEXT]Bajard, F., Chancel, L., Moshrif, R., Piketty, T. (2021). “Global Wealth Inequality on WID.world: Estimates and Imputations”[/URL_TEXT][/URL];;
QB-MER;Africa (at market exchange rate);shweal992j;p99p100;share;Net personal wealth. Share Adults. equal-split adults;Net personal wealth share held by the p99p100 group. Net personal wealth is  the total value of non-financial and financial assets (housing, land, deposits, bonds, equities, etc.) held by households, minus their debts. . The personal or household sector - in the national accounts sense - includes all households and private individuals (including those living in institutions), as well as unincorporated enterprises whose accounts are not separated from those of the households who own them. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;[Net personal wealth]=[Personal non-financial assets]+[Personal financial assets]-[Personal debt];WID.world aggregations of individual country data;[URL][URL_LINK]http://wordpress.wid.world/document/global-wealth-inequality-on-wid-world-estimates-and-imputations-world-inequality-lab-technical-note-2021-16/[/URL_LINK][URL_TEXT]Bajard, F., Chancel, L., Moshrif, R., Piketty, T. (2021). “Global Wealth Inequality on WID.world: Estimates and Imputations”[/URL_TEXT][/URL];;
US-AL;Alabama;shweal992j;p99p100;share;Net personal wealth. Share Adults. equal-split adults;Net personal wealth share held by the p99p100 group. Net personal wealth is  the total value of non-financial and financial assets (housing, land, deposits, bonds, equities, etc.) held by households, minus their debts. . The personal or household sector - in the national accounts sense - includes all households and private individuals (including those living in institutions), as well as unincorporated enterprises whose accounts are not separated from those of the households who own them. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;[Net personal wealth]=[Personal non-financial assets]+[Personal financial assets]-[Personal debt]; ; ; ; 
US-AK;Alaska;shweal992j;p99p100;share;Net personal wealth. Share Adults. equal-split adults;Net personal wealth share held by the p99p100 group. Net personal wealth is  the total value of non-financial and financial assets (housing, land, deposits, bonds, equities, etc.) held by households, minus their debts. . The personal or household sector - in the national accounts sense - includes all households and private individuals (including those living in institutions), as well as unincorporated enterprises whose accounts are not separated from those of the households who own them. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;[Net personal wealth]=[Personal non-financial assets]+[Personal financial assets]-[Personal debt]; ; ; ; 
AL;Albania;shweal992j;p99p100;share;Net personal wealth. Share Adults. equal-split adults;Net personal wealth share held by the p99p100 group. Net personal wealth is  the total value of non-financial and financial assets (housing, land, deposits, bonds, equities, etc.) held by households, minus their debts. . The personal or household sector - in the national accounts sense - includes all households and private individuals (including those living in institutions), as well as unincorporated enterprises whose accounts are not separated from those of the households who own them. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;[Net personal wealth]=[Personal non-financial assets]+[Personal financial assets]-[Personal debt];;[URL][URL_LINK]http://wordpress.wid.world/document/global-wealth-inequality-on-wid-world-estimates-and-imputations-world-inequality-lab-technical-note-2021-16/[/URL_LINK][URL_TEXT]Bajard, F., Chancel, L., Moshrif, R., Piketty, T. (2021). “Global Wealth Inequality on WID.world: Estimates and Imputations”[/URL_TEXT][/URL];;
DZ;Algeria;shweal992j;p99p100;share;Net personal wealth. Share Adults. equal-split adults;Net personal wealth share held by the p99p100 group. Net personal wealth is  the total value of non-financial and financial assets (housing, land, deposits, bonds, equities, etc.) held by households, minus their debts. . The personal or household sector - in the national accounts sense - includes all households and private individuals (including those living in institutions), as well as unincorporated enterprises whose accounts are not separated from those of the households who own them. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;[Net personal wealth]=[Personal non-financial assets]+[Personal financial assets]-[Personal debt];;[URL][URL_LINK]http://wordpress.wid.world/document/global-wealth-inequality-on-wid-world-estimates-and-imputations-world-inequality-lab-technical-note-2021-16/[/URL_LINK][URL_TEXT]Bajard, F., Chancel, L., Moshrif, R., Piketty, T. (2021). “Global Wealth Inequality on WID.world: Estimates and Imputations”[/URL_TEXT][/URL];;
AS;American Samoa;shweal992j;p99p100;share;Net personal wealth. Share Adults. equal-split adults;Net personal wealth share held by the p99p100 group. Net personal wealth is  the total value of non-financial and financial assets (housing, land, deposits, bonds, equities, etc.) held by households, minus their debts. . The personal or household sector - in the national accounts sense - includes all households and private individuals (including those living in institutions), as well as unincorporated enterprises whose accounts are not separated from those of the households who own them. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;[Net personal wealth]=[Personal non-financial assets]+[Personal financial assets]-[Personal debt]; ; ; ; 
QC;Americas;shweal992j;p99p100;share;Net personal wealth. Share Adults. equal-split adults;Net personal wealth share held by the p99p100 group. Net personal wealth is  the total value of non-financial and financial assets (housing, land, deposits, bonds, equities, etc.) held by households, minus their debts. . The personal or household sector - in the national accounts sense - includes all households and private individuals (including those living in institutions), as well as unincorporated enterprises whose accounts are not separated from those of the households who own them. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;[Net personal wealth]=[Personal non-financial assets]+[Personal financial assets]-[Personal debt]; ; ; ; 
QC-MER;Americas (at market exchange rate);shweal992j;p99p100;share;Net personal wealth. Share Adults. equal-split adults;Net personal wealth share held by the p99p100 group. Net personal wealth is  the total value of non-financial and financial assets (housing, land, deposits, bonds, equities, etc.) held by households, minus their debts. . The personal or household sector - in the national accounts sense - includes all households and private individuals (including those living in institutions), as well as unincorporated enterprises whose accounts are not separated from those of the households who own them. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;[Net personal wealth]=[Personal non-financial assets]+[Personal financial assets]-[Personal debt]; ; ; ; 
AD;Andorra;shweal992j;p99p100;share;Net personal wealth. Share Adults. equal-split adults;Net personal wealth share held by the p99p100 group. Net personal wealth is  the total value of non-financial and financial assets (housing, land, deposits, bonds, equities, etc.) held by households, minus their debts. . The personal or household sector - in the national accounts sense - includes all households and private individuals (including those living in institutions), as well as unincorporated enterprises whose accounts are not separated from those of the households who own them. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;[Net personal wealth]=[Personal non-financial assets]+[Personal financial assets]-[Personal debt]; ; ; ; 
AO;Angola;shweal992j;p99p100;share;Net personal wealth. Share Adults. equal-split adults;Net personal wealth share held by the p99p100 group. Net personal wealth is  the total value of non-financial and financial assets (housing, land, deposits, bonds, equities, etc.) held by households, minus their debts. . The personal or household sector - in the national accounts sense - includes all households and private individuals (including those living in institutions), as well as unincorporated enterprises whose accounts are not separated from those of the households who own them. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;[Net personal wealth]=[Personal non-financial assets]+[Personal financial assets]-[Personal debt];;[URL][URL_LINK]http://wordpress.wid.world/document/global-wealth-inequality-on-wid-world-estimates-and-imputations-world-inequality-lab-technical-note-2021-16/[/URL_LINK][URL_TEXT]Bajard, F., Chancel, L., Moshrif, R., Piketty, T. (2021). “Global Wealth Inequality on WID.world: Estimates and Imputations”[/URL_TEXT][/URL];;
AI;Anguilla;shweal992j;p99p100;share;Net personal wealth. Share Adults. equal-split adults;Net personal wealth share held by the p99p100 group. Net personal wealth is  the total value of non-financial and financial assets (housing, land, deposits, bonds, equities, etc.) held by households, minus their debts. . The personal or household sector - in the national accounts sense - includes all households and private individuals (including those living in institutions), as well as unincorporated enterprises whose accounts are not separated from those of the households who own them. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;[Net personal wealth]=[Personal non-financial assets]+[Personal financial assets]-[Personal debt]; ; ; ; 
AG;Antigua and Barbuda;shweal992j;p99p100;share;Net personal wealth. Share Adults. equal-split adults;Net personal wealth share held by the p99p100 group. Net personal wealth is  the total value of non-financial and financial assets (housing, land, deposits, bonds, equities, etc.) held by households, minus their debts. . The personal or household sector - in the national accounts sense - includes all households and private individuals (including those living in institutions), as well as unincorporated enterprises whose accounts are not separated from those of the households who own them. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;[Net personal wealth]=[Personal non-financial assets]+[Personal financial assets]-[Personal debt]; ; ; ; 
AR;Argentina;shweal992j;p99p100;share;Net personal wealth. Share Adults. equal-split adults;Net personal wealth share held by the p99p100 group. Net personal wealth is  the total value of non-financial and financial assets (housing, land, deposits, bonds, equities, etc.) held by households, minus their debts. . The personal or household sector - in the national accounts sense - includes all households and private individuals (including those living in institutions), as well as unincorporated enterprises whose accounts are not separated from those of the households who own them. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;[Net personal wealth]=[Personal non-financial assets]+[Personal financial assets]-[Personal debt];;[URL][URL_LINK]http://wordpress.wid.world/document/global-wealth-inequality-on-wid-world-estimates-and-imputations-world-inequality-lab-technical-note-2021-16/[/URL_LINK][URL_TEXT]Bajard, F., Chancel, L., Moshrif, R., Piketty, T. (2021). “Global Wealth Inequality on WID.world: Estimates and Imputations”[/URL_TEXT][/URL];;
